Strain name,Accession,BioProject,PacBio Accession ,Isolation Year,Hospital,Geographic location,Infection Source,KPC allele,MLST sequence type,wzi type,piperacillin-tazobactam,ticarcillin/clavulanate,cefotaxime,ceftazidime,cefepime,aztreonam,ertapenem,imipenem,meopenem,doripenem,trimethoprim-sulfamethoxazole,doxycycline,minocycline,tigecycline,ciprofloxacin,levlofloxacin,colistin,polymixin B,gentamicin,tobramycin,amikacin
UHKPC77,ARRX00000000,PRJNA187286,,2008,UH,Cleveland_OH_USA,blood,3,258,81*,> 64/4,> 128/2,32,> 16,8,> 16,4,4,8,2,> 4/76,8,8,0.5,> 2,> 8,<= 0.25,0.5,> 8,> 8,16
UHKPC96,ARRY00000000,PRJNA187287,,2008,UH,Cleveland_OH_USA,blood,3,258,81*,> 64/4,> 128/2,16,> 16,8,> 16,4,4,8,> 2,> 4/76,8,8,0.5,> 2,> 8,<= 0.25,0.5,> 8,> 8,8
DMC0526,ARPO00000000,PRJNA187288,,2010,Metropolitan,Detroit_MI_USA,blood,3,258,81*,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,1,> 2,> 8,<= 0.25,0.5,4,8,<= 4
DMC1097,ARSA00000000,PRJNA187290,,2010,Metropolitan,Detroit_MI_USA,blood,3,258,81*,> 64/4,> 128/2,32,> 16,8,> 16,> 4,4,4,1,> 4/76,4,4,1,> 2,> 8,<= 0.25,0.5,4,8,<= 4
DMC1316,ARSB00000000,PRJNA187291,,2010,Metropolitan,Detroit_MI_USA,blood,3,258,81*,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,1,> 2,> 8,> 4,2,> 8,> 8,8
UHKPC61,ARSC00000000,PRJNA187292,,2008,UH,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,<= 0.5/9.5,4,4,0.5,> 2,> 8,0.5,1,<= 1,> 8,16
UHKPC48,ARPP00000000,PRJNA187293,,2008,UH,Cleveland_OH_USA,urine,3,258,81*,> 64/4,> 128/2,32,> 16,4,> 16,> 4,4,8,> 2,> 4/76,8,8,0.5,> 2,> 8,<= 0.25,0.5,> 8,> 8,8
UHKPC33,ARSD00000000,PRJNA187294,,2008,UH,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,0.5,> 2,> 8,<= 0.25,1,2,> 8,32
UHKPC59,ARSE00000000,PRJNA187295,,2008,UH,Cleveland_OH_USA,urine,3,258,81*,> 64/4,> 128/2,16,> 16,4,> 16,4,4,4,2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,> 8,> 8,16
UHKPC07,ARSF00000000,PRJNA187296,,2007,UH,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,1,> 2,> 8,<= 0.25,0.5,2,> 8,16
UHKPC17,ARSG00000000,PRJNA187297,,2008,UH,Cleveland_OH_USA,urine,3,258,81*,> 64/4,> 128/2,32,> 16,8,> 16,2,2,<= 1,1,> 4/76,4,4,<= 0.25,> 2,> 8,<= 0.25,0.5,> 8,> 8,8
UHKPC18,ARSH00000000,PRJNA187298,,2008,UH,Cleveland_OH_USA,urine,3,258,81*,64/4,> 128/2,16,> 16,4,> 16,4,4,4,2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,> 8,> 8,8
UHKPC31,ARSI00000000,PRJNA187299,,2008,UH,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,1,> 2,> 8,<= 0.25,0.5,<= 1,> 8,16
UHKPC06,ARSJ00000000,PRJNA187300,,2007,UH,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,19-Jan,8,8,1,> 2,> 8,<= 0.25,0.5,2,> 8,32
UHKPC02,ARSK00000000,PRJNA187301,,2007,UH,Cleveland_OH_USA,urine,3,258,81*,> 64/4,> 128/2,32,> 16,16,> 16,4,4,8,> 2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,> 8,> 8,8
UHKPC09,APVO00000000,PRJNA187302,,2007,UH,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,8,0.5,> 2,> 8,<= 0.25,0.5,<= 1,> 8,32
UHKPC01,APVP00000000,PRJNA187303,,2007,UH,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,1,> 2,> 8,<= 0.25,0.5,8,> 8,16
UHKPC27,APVR00000000,PRJNA187305,,2008,UH,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,1,> 2,> 8,<= 0.25,0.5,8,> 8,32
UHKPC52,ARVN00000000,PRJNA187306,JMSY00000000,2008,UH,Cleveland_OH_USA,urine,nonea,258,29,> 64/4,128/2,> 32,> 16,> 16,> 16,1,<= 1,<= 1,0.25,> 4/76,8,8,0.5,> 2,> 8,> 4,> 4,<= 1,> 8,32
UHKPC24,APVS00000000,PRJNA187307,,2008,UH,Cleveland_OH_USA,sputum,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,1,> 2,> 8,<= 0.25,0.5,2,> 8,32
UHKPC26,APVT00000000,PRJNA187308,,2008,UH,Cleveland_OH_USA,sputum,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,> 4,> 4,2,> 8,32
UHKPC45,ARVO00000000,PRJNA187311,JMSX00000000,2008,UH,Cleveland_OH_USA,blood,3,258,81*,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,> 4,> 4,> 8,> 8,8
UHKPC22,APVU00000000,PRJNA187312,,2008,UH,Cleveland_OH_USA,urine,7,258,81*,> 64/4,> 128/2,32,> 16,8,> 16,> 4,4,8,> 2,> 4/76,16,16,1,> 2,> 8,<= 0.25,0.5,> 8,> 8,<= 4
UHKPC29,ARVQ00000000,PRJNA187313,,2008,UH,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,<= 0.5/9.5,8,8,1,> 2,> 8,<= 0.25,0.5,<= 1,> 8,16
UHKPC32,ARPQ00000000,PRJNA187314,,2008,UH,Cleveland_OH_USA,urine,3,258,81*,> 64/4,> 128/2,16,> 16,4,> 16,> 4,4,8,2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,> 8,> 8,16
UHKPC04,APVV00000000,PRJNA187315,,2007,UH,Cleveland_OH_USA,sputum,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,8,> 8,16
VAKPC252,APVW00000000,PRJNA187316,,2010,Veterans,Cleveland_OH_USA,tissue,3,258,81*,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,Feb-38,4,<= 2,<= 0.25,> 2,> 8,<= 0.25,1,> 8,> 8,8
VAKPC254,APVX00000000,PRJNA187317,,2010,Veterans,Cleveland_OH_USA,urine,3,258,81*,> 64/4,> 128/2,32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,0.5,0.5,> 8,> 8,32
VAKPC269,APVY00000000,PRJNA187318,,2011,Veterans,Cleveland_OH_USA,pancreatic_fluid,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,0.5,> 2,> 8,<= 0.25,0.5,<= 1,> 8,16
VAKPC278,ARVP00000000,PRJNA187319,JMSW00000000,2011,Veterans,Cleveland_OH_USA,pancreatic_fluid,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,2,> 8,32
VAKPC280,APVZ00000000,PRJNA187320,,2011,Veterans,Cleveland_OH_USA,pancreatic_fluid,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,1,> 2,> 8,> 4,> 4,<= 1,> 8,32
VAKPC270,APWA00000000,PRJNA187321,,2011,Veterans,Cleveland_OH_USA,sputum,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,8,8,0.5,> 2,> 8,<= 0.25,0.5,<= 1,> 8,32
VAKPC276,APWB00000000,PRJNA187322,,2011,Veterans,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,8,0.5,> 2,> 8,<= 0.25,0.5,2,> 8,32
VAKPC297,APWC00000000,PRJNA187323,,2011,Veterans,Cleveland_OH_USA,urine,3,258,81*,> 64/4,> 128/2,4,> 16,4,> 16,4,4,4,2,> 4/76,4,4,1,> 2,> 8,<= 0.25,0.5,> 8,> 8,8
VAKPC309,APWD00000000,PRJNA187324,,2011,Veterans,Cleveland_OH_USA,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,<= 1,> 8,32
140_1040,ARSP00000000,PRJNA193160,,2011,NE_Ohio,North_East_Ohio,blood,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,16,16,2,> 2,> 8,<= 0.25,0.5,<= 1,> 8,32
160_1080,ARSN00000000,PRJNA193161,JMMY00000000,2012,NE_Ohio,North_East_Ohio,blood,2,258,29,> 64/4,> 128/2,32,> 16,16,> 16,> 4,8,> 8,> 2,<= 0.5/9.5,8,8,1,> 2,> 8,<= 0.25,0.5,4,> 8,<= 4
120_1020,ARSO00000000,PRJNA193162,,2012,NE_Ohio,North_East_Ohio,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,8,0.5,> 2,> 8,<= 0.25,0.5,<= 1,> 8,16
280_1220,ARSQ00000000,PRJNA193163,,2012,NE_Ohio,North_East_Ohio,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,<= 0.5/9.5,8,8,0.5,> 2,> 8,> 4,> 4,<= 1,> 8,16
361_1301,APWF00000000,PRJNA193164,,2012,NE_Ohio,North_East_Ohio,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,16,> 16,> 4,8,> 8,> 2,<= 0.5/9.5,8,8,1,> 2,> 8,<= 0.25,0.5,2,> 8,> 32
440_1540,APWG00000000,PRJNA193165,,2012,NE_Ohio,North_East_Ohio,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,> 16,> 16,> 4,> 8,> 8,> 2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,2,> 8,16
500_1420,APWH00000000,PRJNA193167,,2012,NE_Ohio,North_East_Ohio,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,16,> 16,> 4,8,> 8,> 2,<= 0.5/9.5,8,8,1,> 2,> 8,<= 0.25,4,4,> 8,<= 4
540_1460,APWI00000000,PRJNA193168,,2012,NE_Ohio,North_East_Ohio,urine,3,258,81*,> 64/4,> 128/2,16,> 16,8,> 16,> 4,4,8,> 2,> 4/76,4,4,0.5,> 2,> 8,<= 0.25,0.5,> 8,> 8,<= 4
646_1568,APWJ00000000,PRJNA193169,,2012,NE_Ohio,North_East_Ohio,urine,2,258,29,> 64/4,> 128/2,> 32,> 16,16,> 16,> 4,8,> 8,> 2,<= 0.5/9.5,8,8,0.5,> 2,> 8,<= 0.25,1,8,> 8,16
KP-7,AQQD00000000,PRJNA187325,,2004,Pediatric,Cleveland_OH_USA,stool,3,2-1-2-1-7-New-7,110*,> 64/4,> 128/2,4,16,<= 2,> 16,4,4,4,2,<= 0.5/9.5,<= 2,<= 2,0.5,<= 0.25,<= 1,<= 0.25,0.5,8,8,<= 4
KP-11,APWE00000000,PRJNA187326,,2004,Pediatric,Cleveland_OH_USA,stool,3,2-1-2-1-7-New-7,110*,> 64/4,> 128/2,4,16,4,> 16,2,2,<= 1,1,<= 0.5/9.5,4,4,0.5,<= 0.25,<= 1,<= 0.25,0.5,<= 1,<= 1,<= 4
