Strains,Year,States/Countries,Organism,Site,MLST,Clade,ST258 CPS,KPC,Tn44011,Integration site,Imipenem,Meropenem,Ertapenem,Doripenem,Ceftazidime,Cefotaxime,Cefepime,Aztreonam,Ticarcillin/Clavulanate,Piperacillin/Tazobactam,Sulphamethoxazole/Trimethoprim,Amikacin,Gentamicin,Tobramycin,Ciprofloxacin,Levofloxacin,Doxycycline,Minocycline,Tigecycline,Colistin,Polymyxin B,_-lactamase,Aminoglycoside Resistance,Quinolone Resistance,ompK35,ompK36,FIIK1(pNJST258N1),FIA(pNJST258N2),rep (pNJST258N3 or pNJST258C3),colE(pNJST258N4 or pNJST258C2),rep(pNJST258N5),rep(pNJST258C1),FIIK23,I2,R,X3,L/M,N,A/C,X4,FIIK5
1756,2007,NJ,K. pneumoniae,,418,2,cps-2,KPC-3,d,1,8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,16,4,>8,>2,>8,16,16,1,0.5,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 , strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,1,1,1,,1,,,,1,,,,,
1757,2007,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,b,2,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,8,8,1,> 4,> 4,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,1,,1,1,,,,,,
1758,2007,NYC,K. pneumoniae,,258,2,cps-2,KPC-3,b,,8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,<4,8,>8,>2,>8,8,4,<0.25,0.5,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,1,,,,,
1759,2009,NJ,K. pneumoniae,urine,258,2,cps-2,KPC-3,b,,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,8,8,1,> 4,> 4,"KPC-3, SHV-1, SHV-5, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB, qnrS1",aa89-stop,WT,1,,1,1,,1,,1,1,,,,,,
1760,2009,NJ,K. pneumoniae,sputum,379,2,cps-2,KPC-3,b,,8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,>32,4,>8,>2,>8,16,8,0.5,1,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,1,,1,1,,,,,,
1761,2009,NJ,K. pneumoniae,blood,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,>16,>32,>16,>16,> 128/2,> 64/4,> 4/76,32,>8,>8,>2,>8,4,4,0.5,0.5,1,"KPC-2, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,,,,,,
1762,2009,NJ,K. pneumoniae,sputum,258,2,cps-2,KPC-3,b,2,4,2,4,2,>16,32,4,>16,>128/2,>64/4,>4/76,32,8,>8,>2,>8,4,4,1,1,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,,,1,1,,1,,1,1,,,,,,
1763,2009,NJ,K. pneumoniae,,379,2,cps-2,KPC-3,b,2,8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,4,8,1,> 4,4,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,1,,1,1,,,,,,
1764,2009,NYC,K. pneumoniae,blood,258,2,cps-2,KPC-3,d,1,>8,>8,>4,>2,>16,32,8,>16,>128/2,>64/4,>4/76,32,8,>8,>2,>8,8,4,1,2,1,"KPC-3, SHV-11, TEM-1, OXA-9","aacA4, aadA1, aadA2 , strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,T(C)ACAAT-10,,1,1,1,,1,,,,,,,,,
1765,2009,NYC,K. pneumoniae,blood,258,2,cps-2,KPC-3,b,,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,> 8,> 8,> 2,> 8,8,8,1,> 4,> 4,"KPC-3, SHV-11, TEM-1, OXA-9","aacA4, aadA1","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,,1,,1,,1,,1,,,,,,,
1766,2009,NY,K. pneumoniae,swab,258,1,cps-1,KPC-2,a,3,8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,32,2,>8,>2,>8,4,4,<0.25,0.5,0.5,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,1,,,,1,1,,,,,
1767,2009,NJ,K. pneumoniae,,379,2,cps-2,KPC-3,b,2,8,>8,>4,>2,>16,16,>16,>16,>128/2,>64/4,1/19,32,8,>8,>2,>8,>16,>16,4,0.5,1,"KPC-3, SHV-11, TEM-1, OXA-9","aacA4, aadA1","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,,,1,1,,1,,1,,,,,,,
1768,2009,NJ,K. pneumoniae,,379,2,cps-2,KPC-3,b,2,8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,> 8,> 8,> 2,> 8,8,8,1,4,4,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,1,,1,,,,,,,
1769,2009,NYC,K. pneumoniae,,258,2,cps-2,KPC-3,a,3,<= 1,<= 1,<= 0.25,<= 0.12,2,<= 1,<= 2,<= 2,> 128/2,> 64/4,<= 0.5/9.5,> 32,2,> 8,> 2,> 8,4,4,1,0.5,1,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,,,,,
1770,2010,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,d,1,8,>8,>4,>2,>16,32,>16,>16,>128/2,>64/4,>4/76,<4,>8,>8,>2,>8,4,4,0.5,1,1,"KPC-3, SHV-11, TEM-1, OXA-9","aacA4, aadA1, strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,1,1,1,,1,,,,,,,,,
1771,2010,NJ,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,16,16,2,> 4,> 4,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,1,,,,,
1772,2010,NY,K. pneumoniae,urine,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,16,> 16,2,> 4,2,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,,1,,,
1773,2007,Canada,K. pneumoniae,,258,2,cps-2,KPC-3,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,> 8,> 8,> 2,> 8,8,8,1,> 4,> 4,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,,,,,
1774,2009,Canada,K. pneumoniae,,258,2,cps-2,KPC-3,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,4,> 8,> 2,> 8,4,8,1,> 4,> 4,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,,,,,
1775,2009,Canada,K. pneumoniae,wound,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,8,16,1,> 4,> 4,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,,,,,
1776,2009,TX,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,>8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,32,4,>8,>2,>8,8,8,1,0.5,1,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,,,,,
NJST258_1,2010,NJ,K. pneumoniae,urine,258,2,cps-2,KPC-3,d,1,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,8,16,1,> 4,> 4,"KPC-3, TEM-1, OXA-9","aacA4, aadA1, strAB","gyrA:Ser83Ile;Asp87Gly ; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,1,1,1,1,,,,,,,,,,
1778,2010,NJ,K. pneumoniae,blood,258,1,cps-1,KPC-3,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,16,16,2,> 4,> 4,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,,,,,,
1779,2010,NYC,K. pneumoniae,urine,258,2,cps-2,KPC-2,a,3,> 8,> 8,> 4,> 2,>16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,<4,4,> 8,> 2,> 8,8,8,0.5,0.5,1,"KPC-2, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,,,,,,
1780,2010,NYC,K. pneumoniae,respiratory,258,2,cps-2,KPC-3,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,4,> 8,> 2,> 8,8,8,1,0.5,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aadB, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,1,,,,
1781,2005,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,b,2,4,8,>4,>2,>16,32,8,>16,>128/2,>64/4,>4/76,32,>8,>8,>2,>8,4,4,0.5,0.5,0.5,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,1,,1,1,,,,,,
1782,2006,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,b,,8,> 8,> 4,> 2,> 16,> 32,16,> 16,> 128/2,> 64/4,> 4/76,32,> 8,> 8,> 2,> 8,8,8,1,0.5,1,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,1,,1,1,,,,,,
1783,2007,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,b,2,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,> 8,> 8,> 2,> 8,8,8,1,0.5,1,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,,,1,1,,,,,,
1784,2008,NJ,K. pneumoniae,,258,2,cps-2,KPC-2,e,,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,1/19,> 32,> 8,> 8,> 2,> 8,4,4,0.5,> 4,> 4,"KPC-2, SHV-11, TEM-1","aphA1, aacA4, aadB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,,1,,,1,,
1785,2009,NJ,K. pneumoniae,,258,2,cps-2,-,-,,<= 1,<= 1,0.5,<= 0.12,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,> 16,> 16,8,2,2,"KPC-3, SHV-11, SHV-12",aacA4,"gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,,,1,1,1,1,,,,,,,,,
1786,2010,NJ,K. pneumoniae,,258,2,cps-2,KPC-3,b,2,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,16,16,2,1,1,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,1,,,1,,,,,,
1787,2010,NYC,K. pneumoniae,urine,258,1,cps-1,KPC-2,a,3,8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,>32,>8,>8,>2,>8,4,4,0.5,0.5,1,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,1,,,,,
1788,2011,NYC,K. pneumoniae,,258,2,cps-2,KPC-3,d,1,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,8,> 8,> 2,> 8,16,16,2,2,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 , strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,,1,1,1,,1,,,,,,,,,
1789,2011,NYC,K. pneumoniae,,258,2,cps-2,KPC-3,d,1,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,2,> 8,> 2,> 8,8,8,1,1,1,"KPC-3, SHV-11, TEM-1, OXA-9","aacA4, aadA1, strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,350N->K,,1,1,1,1,,,,,,,,,,
1790,2011,NYC,K. pneumoniae,,258,2,cps-2,KPC-3,d,1,>8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,>32,8,>8,>2,>8,<2,<2,<0.25,0.5,0.5,"KPC-3, SHV-11, TEM-1, OXA-9","aacA4, aadA1, strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,IS and promoter del,,1,1,1,,1,,,,,,,,,
1791,2010,Colombia,K. pneumoniae,,512,2,cps-2,KPC-3,a,3,>8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,>32,8,2,>2,>8,4,>16,0.5,0.5,0.5,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,,,,,
1792,2010,Colombia,K. pneumoniae,,512,2,cps-2,KPC-3,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,8,> 8,> 2,> 8,8,8,1,2,1,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,,,,,
1793,2009,Mid Atlantic,K. pneumoniae,,258,2,cps-2,-,-,,<= 1,2,<= 0.25,<= 0.12,> 16,32,8,> 16,64/2,64/4,<= 0.5/9.5,32,2,> 8,> 2,> 8,4,4,1,1,1,"SHV-11, SHV-12, TEM-1","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,1,1,,1,,,1,,,,,,
1794,2009,Mid Atlantic,K. pneumoniae,,258,2,cps-2,KPC-3,b,,4,2,2,2,>16,16,4,>16,>128/2,>64/4,>4/76,>32,4,>8,>2,>8,4,4,0.5,0.5,1,"KPC-3, SHV-11","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,,,1,1,,,,,1,,,,,,
1795,2009,Italy,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,4,> 8,> 2,> 8,8,8,1,0.5,1,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,1,,,1,,,,,
1796,2010,Mid Atlantic,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,>8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,32,>8,>8,>2,>8,8,8,0.5,0.5,0.5,"KPC-2, SHV-11, SHV-12, TEM-1","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,1,,,,,
1797,2010,Mid Atlantic,K. pneumoniae,,258,2,cps-2,KPC-3,b,,8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,<4,8,>8,>2,>8,<2,<2,<0.25,0.5,0.5,"KPC-3, SHV-11, SHV-12, TEM-1"," aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,1,,,,,
1798,2010,Mid Atlantic,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,>8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,32,>8,>8,>2,>8,>16,>16,8,1,1,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,1,,,,,
1800,2010,Mid Atlantic,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,<= 0.5/9.5,32,2,> 8,> 2,> 8,8,8,1,0.5,1,"KPC-2, SHV-11, SHV-12",aacA4,"gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,,1,,1,,,
1801,2011,NYC,K. pneumoniae,,258,2,cps-2,KPC-3,d,1,<1,4,4,1,4,32,<2,>16,>128/2,<8/4,>4/76,<4,<1,<1,<0.25,<1,<2,<2,1,1,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA21, strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,1,1,1,1,1,,,,1,,,,,
1802,2011,NYC,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,8,>8,>4,>2,>16,16,16,>16,>128/2,>64/4,>4/76,32,2,>8,>2,>8,8,8,0.5,0.5,1,"KPC-2, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,1,,,1,,,,,,,,
1803,2011,IL ,K. pneumoniae,,258,2,cps-2,KPC-3,d,1,8,8,>4,>2,>16,16,16,>16,>128/2,>64/4,>4/76,16,2,>8,>2,>8,8,8,1,0.5,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,1,1,1,1,1,,,,1,,,,1,
1804,2010,PA,K. pneumoniae,Blood,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,8,> 8,> 2,> 8,4,4,1,0.5,2,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,IS5 promoter ins,1,,,1,,,,,,1,,,,,
